,precision,recall,f1-score,support
Corn___Common_Rust,0.9944444444444445,1.0,0.9972144846796658,179.0
Corn___Gray_Leaf_Spot,0.8275862068965517,0.935064935064935,0.8780487804878049,77.0
Corn___Healthy,1.0,1.0,1.0,174.0
Corn___Northern_Leaf_Blight,0.9640287769784173,0.9054054054054054,0.9337979094076655,148.0
Potato___Early_Blight,0.9933774834437086,1.0,0.9966777408637874,150.0
Potato___Healthy,0.9583333333333334,1.0,0.9787234042553191,23.0
Potato___Late_Blight,1.0,0.9866666666666667,0.9932885906040269,150.0
Wheat___Brown_Rust,0.9846153846153847,0.9481481481481482,0.9660377358490566,135.0
Wheat___Healthy,0.9880952380952381,0.9940119760479041,0.991044776119403,167.0
Wheat___Yellow_Rust,0.9716312056737588,0.9856115107913669,0.9785714285714285,139.0
accuracy,0.9769001490312966,0.9769001490312966,0.9769001490312966,0.9769001490312966
macro avg,0.9682112073480837,0.9754908642124427,0.9713404850838157,1342.0
weighted avg,0.9779776161969098,0.9769001490312966,0.9770937615414244,1342.0
